package_name,weekly_downloads,repeated_characters,omitted_characters,swapped_characters,swapped_words,common_typos,version_numbers
clone-shallow,3,,,,shallow-clone,,
go-mon,2,,,,mongo,,
piratex,0,,,,,pirates,
qs3,1,,,,,,qs
uniq-id,231,,uniqid,,uniqid,uniqid,
pea,2,,,,,pez,
c_,1,,,,,cp,
fluent-logger-1,0,,,,,,fluent-logger
template-string,76,,,,string-template,,
eslint-config-typescript-airbnb,2,,,,eslint-config-airbnb-typescript,,
fijs,0,,,,,rijs,
dc-dropdown,1,,,,,rc-dropdown,
expressx,8,,express,,,,
mreact-native-fbsdk,0,,react-native-fbsdk,,,,
jasmine-node2,1,,jasmine-node,,,,jasmine-node
xutility,24,,utility,,,,
qjuery,1,,,jquery,,,
svue-cli,0,,vue-cli,,,,
ar.js,269,,,,,qr.js,
vmd,85,,,,,umd,
jaen,1,,,,,jsen,
dropzoner,1,,dropzone,,,,
wvue-cli,1,,vue-cli,,,,
asymc,1,,,,,async,
map-array,3,,,,array-map,,
jwt-koa,1,,,,koa-jwt,,
pconfig,1,,config,,,,
casee,0,case,,,,,
json-streams,2,,json-stream,,,,
q2,1,,,,,qw,q
rbb,0,,,,,rgb,
png.js,2558,,,,pngjs,png-js,
player-react,1,,,,react-player,,
doczify-cli,0,,,,,docsify-cli,
n-select,1,,,,selectn,,
atp,14,,,tap,,,
rs-loader,10,,,,,ts-loader,
dyp,1,,,,,dup,
update-notifier2,0,,update-notifier,,,,update-notifier
icons-react,2,,,,react-icons,,
ngn-mocks,2,,ng-mocks,,,,
babel-preset-vue2,2,,babel-preset-vue,,,,babel-preset-vue
jtml,1,,,,,html,
dateformatt,0,dateformat,dateformat,,,,
ntwitter,133,,twitter,,,,
class-is,11842,,,,is-class,,
nodelo,1,,,,,modelo,
redux-form-6,1,,,,,,redux-form
drs,2,,,,,xrs,
dstate,0,,,,,xstate,
vjs,18,,,,,vis,
github4,52,,github,,,,github
aws3,2,,,,,aws4,
calendar-react,3,,,,react-calendar,,
vl,3,,,,,bl,
gtx,6,,,,,gts,
boon,0,,,,,boom,
gulp.insert,0,,,,gulp-insert,gulp-insert,
args2,0,,,,,,args
load-json5-file,50,,load-json-file,,,,
url-dom,7,,,,domurl,,
qa,479,,,,,qw,
timerjs,2,,timers,,,,
proxy-middleware-2,0,,,,,,proxy-middleware
copy-webpack1-plugin,0,,copy-webpack-plugin,,,,
preact-powerplug,1,,react-powerplug,,,,
lopp,1,lop,,,,,
isenv,1,,,,,osenv,
getenv2,51,,getenv,,,,getenv
sveltex,1,,svelte,,,,
fromq,0,,,,,from2,
prt,1,,,,,prr,
vue2-grid-layout,2,,vue-grid-layout,,,,
async-run,1,,,,run-async,,
expressy,0,,express,,,,
revalidators,1,,revalidator,,,,
snap-react,1,,,,react-snap,,
jku,0,,,,,jju,
date_and_time,3,,,,date-and-time,,
fup,0,,,,,dup,
gifr,0,,,,,gift,
2s,5,,,,,qs,
node-fbs,2,,node-fs,,,,
qconfig,1,,config,,,,
bvalidator,14,,validator,,,,
ddd,5,d,,,,,
svgv-loader,1,,svg-loader,,,,
doot,0,dot,,,,,
yalm,168,,,yaml,,,
miccro,0,micro,,,,,
reqquest,2,request,request,,,,
chr-mock,0,,,,,xhr-mock,
x-paths,0,,x-path,,,,
xint,0,,,,,cint,
rollup-plugin-jsonx,0,,rollup-plugin-json,,,,
odb,1,,,,,idb,
react-json-schema-form,25,,react-jsonschema-form,,,react-jsonschema-form,
babel-plugin-transform-commonjs-modules-es2015,0,,,,babel-plugin-transform-es2015-modules-commonjs,,
rlm,1,,,,,elm,
vuers,1,,,,,vuera,
sos,10,,,,,aos,
text,539,,,,,test,
gulp-rev2,26,,gulp-rev,,,,gulp-rev
socket.io-redis2,1,,socket.io-redis,,,,socket.io-redis
queuee,150,queue,,,,,
expresst,0,,express,,,,
defines,0,,,,,defined,
marchiver,1,,archiver,,,,
yoeman-generator,1,,,yeoman-generator,,,
tail2,1,,,,,,tail
daw,0,,,,,caw,
jsonl,4,,,,,jsonp,
preact_ujs,1,,react_ujs,,,,
s-js,151,,,,jss,,
jest-axios-mock,2,,,,jest-mock-axios,,
gls,95,,,,,tls,
react-pdv,4,,,,,react-pdf,
element-gui,281,,element-ui,,,,
zos,261,,,,,aos,
dor,0,,,,,dot,
eval-expression,13,,,,expression-eval,,
buetify,16,,,,,vuetify,
bue-i18n,0,,,,,vue-i18n,
web-driver,9,,webdriver,,webdriver,webdriver,
bunyan-pretty-stream,147,,bunyan-prettystream,,,bunyan-prettystream,
table-react,2,,,,react-table,,
array-reducer,179,,array-reduce,,,,
redox,1,,,,,redoc,
deferrer,5,,,,,deferred,
react-compat-lifecycles,0,,,,react-lifecycles-compat,,
later2,11,,,,,,later
appp,1,ap,,,,,
check-sum,0,,checksum,,checksum,checksum,
js-observable,2,,,,,is-observable,
passport-github2,8632,,passport-github,,,,passport-github
range-array,1,,,,array-range,,
configy,2,,config,,,,
esc.js,2,,,,jsesc,,
gulp-until,5,,gulp-util,,,,
stripes,17,,stripe,,,,
up2date,1,,update,,,,
knit.js,1,,,,,knot.js,
weebpack,5,webpack,webpack,,,,
deal,0,,,,,deap,
s3-webpack-plugin,8,,,,webpack-s3-plugin,,
finf,306,,,,,find,
yapidoc,1,,apidoc,,,,
notify-slack,7,,,,slack-notify,,
xrss,0,xrs,,,,,
dir-resolve,311,,,,resolve-dir,,
i.,2,,,,i,i,
globalizer,1,,globalize,,,globalyzer,
redux2,1,,,,,,redux
needlex,3,,needle,,,,
msql,35,,,,,msal,
comutils,896,,,,,domutils,
peek-a-boo,0,,,,peekaboo,,
fideo-react,14,,,,,video-react,
vues,52,,,,,vuex,
auto-bind-decorator,1,,autobind-decorator,,,autobind-decorator,
gpt,1399,,,,,got,
con-fig,0,,config,,config,config,
muq,0,,,,,mu2,
websocket1,1,,websocket,,,,websocket
url-valid,135,,,,valid-url,,
filesizes,8,,filesize,,,,
react-alert-confirm,126,,,,react-confirm-alert,,
qqqqqqqqqqqqqqqqqqqqqqq,0,q,,,,,
q8,1,,,,,,q
bow,4,,,,,vow,
hext,2,,,,,next,
vue-outside-click,543,,,,vue-click-outside,,
sails-orm-hook,13,,,,sails-hook-orm,,
srp,10,,,,,sdp,
rambdax,2793,,rambda,,,,
latex,107,,,,,katex,
ini2,1,,,,,,ini
js-autocomplete,1480,,,,autocomplete.js,,
uutil,2,util,,,,,
csg,1247,,,,,cst,
is-tif,898,,,,,is-gif,
create-react-ref,4975,,,,react-create-ref,,
qcrypto,1,,crypto,,,,
atypical,0,,typical,,,,
dm5,42,,,md5,,,
base-options,4,,base-option,,,,
ms-test,1,,,,,ms-rest,
silent-verror,22,,silent-error,,,,
iammutable,0,,immutable,,,,
replacer,22,,replace,,,,
via,9,,,,,vis,
qutility,2,,utility,,,,
react-masked-input,18,,react-maskedinput,,,react-maskedinput,
min-dash-1,1,,,,,,min-dash
chai-sinon,934,,,,sinon-chai,,
base64-isomorphic,1,,,,isomorphic-base64,,
de,14,,,,,d3,
vuez,2,,,,,vuex,
phantomjs-prebuilt2,12,,phantomjs-prebuilt,,,,phantomjs-prebuilt
tet,1,,,,,ret,
js-zip,172,,,,jszip,is-zip,
9s,2,,,,,is,
djs,8,,,,,ejs,
re,457,,,,,rr,
cec,1,,,,,crc,
vgh-pages,1,,gh-pages,,,,
brequest,4,,request,,,,
jslm,0,,,,,jspm,
git,8032,,,,,got,
rgbx2hex,3,,rgb2hex,,,,
fabrix,0,,,,,fabric,
version-compare,1,,,,compare-version,,
dcrypto,0,,crypto,,,,
wqjs,1,,,,,qqjs,
dlrange,0,,drange,,,,
vind,17,,,,,find,
cs-conventional-changelog,2,,,,,cz-conventional-changelog,
date.format,119,,dateformat,,dateformat,date-format,
es5lint,0,,eslint,,,,
sshx,1,shx,,,,,
node-fsx,1,,node-fs,,,,
du,5530,,,,,di,
rojs,1,,,,,rijs,
wsc-simple-broker,1,,sc-simple-broker,,,,
@pangular/compiler,8,,@angular/compiler,,,,
vinside,1,,inside,,,,
value-get,95,,,,get-value,,
postpack,1,,potpack,,,,
milt,0,,,,,kilt,
es7-shim,11632,,,,,es6-shim,
pwnd,1,,,,,pend,
diff-object,0,,,,object-diff,,
y9,0,,,,,yo,
testttttt,1,test,,,,,
hjson-loader,588,,json-loader,,,,
reset.css,2731,,,,reset-css,reset-css,
card-inal,0,,cardinal,,cardinal,cardinal,
arrays-difference,0,,array-difference,,,,
bhs,0,,,hbs,,,
nuh,1,,,,,nub,
track.js,1,,trackjs,,trackjs,trackjs,
gconfig,9,,config,,,,
1db,5,,,,,idb,
nrollup,1,,rollup,,,,
reedux,21,redux,,,,,
deep-id,0,,,,,deep-is,
validators,691,,validator,,,,
cgb,1,,,,,cfb,
protobufjs5,1,,protobufjs,,,,protobufjs
rrrouter,2,router,,,,,
execq,0,,,,,execa,
async.until,0,,,,async-until,async-until,
rtc-switch,4,,rc-switch,,,,
html-truncate,8417,,,,truncate-html,,
gglobby,2588,,globby,,,,
img-loaded,0,,,,,img-loader,
lmap,2,,,,,imap,
stream-match,97,,,,match-stream,,
imscc,1,imsc,,,,,
http-s,29,,,,https,https,
drags,1,,,dargs,,,
jsonpp,3,jsonp,,,,,
chalkk,0,chalk,,,,,
create-preact-class,1,,create-react-class,,,,
dirvector,1,,director,,,,
bind-fast,0,,,,fast-bind,,
nyb,1,,,,,nub,
adios,189,,,,,axios,
ok-stream,1,,o-stream,,,,
try-parse-json,339,,,,try-json-parse,,
xforever,0,,forever,,,,
sex,3,,,,,sec,
preact-custom-scrollbars,44,,react-custom-scrollbars,,,,
ssw,1,,,,,sse,
union-array,2,,,,array-union,,
jstring,4,,string,,,,
motu,1,,,mout,,,
jbinary,256,,binary,,,,
bottleneckp,9490,,bottleneck,,,,
validatory,18,,validator,,,,
react-native-device-info-2,4,,,,,,react-native-device-info
qn,337,,,,,qj,
installg,0,,install,,,,
mailchimp-v3-api,144,,,,mailchimp-api-v3,,
scryptb,41,,scrypt,,,,
bip65,278,,,,,bip66,
react-native-lbutton,1,,react-native-button,,,,
node-static-2,2,,,,,,node-static
gclone,1,,,,,fclone,
react-iscroll,784,,react-scroll,,,,
amp-values,47,,,map-values,,,
platforms,6,,platform,,,,
s3-fetch,0,,,,,d3-fetch,
httpd,17,,,,,https,
sfs,11,,,ssf,,,
react_native_gifted_chat,1,,,,react-native-gifted-chat,,
img2-loader,0,,img-loader,,,,
js-pubsub,6,,,,pubsub-js,,
gulp-templater,0,,gulp-template,,,,
lni,0,,,,,ini,
nat,0,,,,,hat,
cionstring,1,,,coinstring,,,
es,1465,,,,,ws,
gevents,0,,events,,,,
extraverse,2,,xtraverse,,,estraverse,
nnnn,1,n,,,,,
off,3,,,,,pff,
flap,2,,,,,clap,
grouter,0,,router,,,trouter,
osap,1,,,soap,,,
preact-ssr-prepass,4659,,react-ssr-prepass,,,,
draggable-react,1,,,,react-draggable,,
alex2,0,,,,,,alex
flex-box-grid,10,,,,flexboxgrid,,
yzal,1,,,yazl,,,
remp,1,,,,,temp,
@materialr/list,1,,@material/list,,,,
rcc,3,rc,,crc,,,
gulp-babel5,7,,gulp-babel,,,,gulp-babel
uri-join,75,,,,,url-join,
react-google-map,835,,,,google-map-react,,
blib,0,,,,,blob,
middle,0,,,,,moddle,
yaml-js-loader,76,,,,js-yaml-loader,,
iterate-stream,1,,,,stream-iterate,,
qdd,257,,,,,add,
swagger-ui3-express,1,,swagger-ui-express,,,,
ssh_node,0,,,,node-ssh,,
asyncc,7068,async,,,,,
secured-random,4,,secure-random,,,,
styling,41,,,,,stylint,
mswiper,1,,swiper,,,,
react-loaders,7879,,react-loader,,,,
ssync,1,,,,,async,
server-http,8,,,,http-server,,
node-istatic,1,,node-static,,,,
taxios,1,,,,,gaxios,
uniq-array,5,,,,array-uniq,,
yoru,1,,,,,ylru,
rev-cli,1,,,,,reg-cli,
mok,3,,,,,moo,
csscombx,6,,csscomb,,,,
consulr,7,,consul,,,,
tvalidator,3,,validator,,,,
ltd,1,,,,,ltx,
antlr3,0,,,,,antlr4,
xl,3,,,,,xo,
fsq,0,,,,,fs2,
karma-junitp-reporter,1,,karma-junit-reporter,,,,
react-ios,2,,react-is,,,,
jsxhint,508,,jshint,,,,
noe,3,,,,,now,
react-slick-3,1,,,,,,react-slick
rsm,2,,,,,esm,
query-selectors,1,,query-selector,,,,
parse-js,125,,,,,parse-ms,
measure-font,133,,,,font-measure,,
hs-sha3,1,,,,,js-sha3,
useragent2,1,,useragent,,,,useragent
webpacky,1,,webpack,,,,
d3-tipy,0,,d3-tip,,,,
seditor,1,,editor,,,,
sitemapr,1,,sitemap,,,,
liw,23,,,,,lie,
nomi,2,,,,,npmi,
milter,3,,,,,multer,
