package_name,repeated_characters,omitted_characters,swapped_characters,swapped_words,common_typos,version_numbers
reportlab2,n/a,reportlab,n/a,n/a,n/a,reportlab
xml2json,n/a,xmljson,n/a,n/a,n/a,n/a
chardet2,n/a,chardet,n/a,n/a,n/a,chardet
slacker2,n/a,slacker,n/a,n/a,n/a,slacker
dwebsocket,n/a,websocket,n/a,n/a,n/a,n/a
mcok,n/a,n/a,mock,n/a,n/a,n/a
tfa-nightly,n/a,tf-nightly,n/a,n/a,n/a,n/a
cbot,n/a,n/a,n/a,n/a,cbor,n/a
colours,n/a,colour,n/a,n/a,n/a,n/a
sop,n/a,n/a,n/a,n/a,sip,n/a
pyexcel-xlsxw,n/a,pyexcel-xlsx,n/a,n/a,n/a,n/a
sc0ns,n/a,n/a,n/a,n/a,scons,n/a
dby,n/a,n/a,n/a,n/a,dbt,n/a
pinliner,n/a,n/a,n/a,n/a,pynliner,n/a
dcs,n/a,n/a,n/a,n/a,scs,n/a
pyandoc,n/a,pandoc,n/a,n/a,n/a,n/a
py-sam,n/a,n/a,n/a,pysam,pysam,n/a
ssh-tunnel,n/a,sshtunnel,n/a,sshtunnel,sshtunnel,n/a
optable,n/a,ptable,n/a,n/a,n/a,n/a
loggers,n/a,logger,n/a,n/a,n/a,n/a
afro,n/a,n/a,n/a,n/a,avro,n/a
vandroguard,n/a,androguard,n/a,n/a,n/a,n/a
ptah,n/a,n/a,path,n/a,n/a,n/a
ninka,n/a,n/a,n/a,n/a,ninja,n/a
pydnx,n/a,n/a,n/a,n/a,pydns,n/a
pathtools3,n/a,pathtools,n/a,n/a,n/a,pathtools
selenium-base,n/a,seleniumbase,n/a,seleniumbase,seleniumbase,n/a
colorlogs,n/a,colorlog,n/a,n/a,n/a,n/a
http-tools,n/a,httptools,n/a,httptools,httptools,n/a
pyres,n/a,n/a,n/a,n/a,pydes,n/a
pytest-allure-adaptor2,n/a,pytest-allure-adaptor,n/a,n/a,n/a,pytest-allure-adaptor
robotframework-httplibrary3,n/a,robotframework-httplibrary,n/a,n/a,n/a,robotframework-httplibrary
currency.converter,n/a,currencyconverter,n/a,currencyconverter,currencyconverter,n/a
n2,n/a,n/a,n/a,n/a,h2,n/a
urlparse4,n/a,n/a,n/a,n/a,urlparse3,n/a
humansize,n/a,humanize,n/a,n/a,n/a,n/a
gwebsocket,n/a,websocket,n/a,n/a,n/a,n/a
jpy,n/a,n/a,n/a,n/a,ipy,n/a
pydhs,n/a,n/a,n/a,n/a,pydns,n/a
pygql,n/a,n/a,n/a,n/a,pygal,n/a
aconfig,n/a,config,n/a,n/a,n/a,n/a
dockerd,n/a,docker,n/a,n/a,n/a,n/a
request-id-django-log,n/a,n/a,n/a,django-log-request-id,n/a,n/a
