package_name,total_packages_installed,normal_time,typosquatting_time,difference,,,,
fs-constants,1,1.2932275,1.4200382,0.1268107,,,,
fastparse,1,1.4475505,1.3386666,-0.1088839,,,,
tmpl,1,1.516764,1.4851882,-0.0315758,,,,
buffer-alloc-unsafe,1,1.3485725,1.3080213,-0.0405512,,,,
apollo-tracing,48,14.6625653,14.6868782,0.0243129,,,,
bl,6,1.925042,2.0230578,0.0980158,,,,
#NAME?,18,4.255016,3.4481567,-0.8068593,,,,
#NAME?,5,2.1476558,2.1208405,-0.0268153,,,,
sax,1,1.4940086,1.6743177,0.1803091,,,,
#NAME?,22,3.8573946,3.5593238,-0.2980708,,,,
supports-color,2,1.5644678,1.997803,0.4333352,,,,
setprototypeof,1,1.3931472,1.5011116,0.1079644,,,,
regjsgen,1,1.2406225,1.414276,0.1736535,,,,
babel-plugin-transform-es2015-duplicate-keys,8,3.0435295,2.9151764,-0.1283531,,,,
engine.io-client,22,2.2478206,2.5896983,0.3418777,,,,
normalize-package-data,10,2.1055774,2.0485892,-0.0569882,,,,
jest-config,447,35.0888416,35.0907538,0.0019122,,,,
glob,11,2.0951716,1.9371623,-0.1580093,,,,
inquirer,37,6.8869318,6.2758747,-0.6110571,,,,
sails.io.js-dist,1,1.4021005,1.5023963,0.1002958,,,,
shebang-command,2,1.6393758,1.5079446,-0.1314312,,,,
es6-promise,1,1.2497758,1.4467382,0.1969624,,,,
css-loader,36,4.3762584,4.1815276,-0.1947308,,,,
#NAME?,11,2.1882945,2.4249974,0.2367029,,,,
timers-browserify,2,1.5269175,1.647796,0.1208785,,,,
tmp,13,2.4544819,2.0231713,-0.4313106,,,,
define-property,6,1.7208469,1.6893944,-0.0314525,,,,
#NAME?,4,1.9742181,2.0372374,0.0630193,,,,
worker-farm,3,1.3869156,1.6374967,0.2505811,,,,
isobject,1,1.3972077,1.5870337,0.189826,,,,
duplexify,10,2.1731612,2.0061213,-0.1670399,,,,
is-symbol,2,1.5767929,1.4483549,-0.128438,,,,
object-visit,2,1.4590895,1.5606214,0.1015319,,,,
get-stream,5,1.6521535,1.7751836,0.1230301,,,,
#NAME?,60,7.2681167,7.3164099,0.0482932,,,,
is-path-in-cwd,2,1.3447519,1.5074128,0.1626609,,,,
workbox-precaching,2,1.6200896,1.6495669,0.0294773,,,,
measured-reporting,6,2.1092931,1.5485731,-0.56072,,,,
fresh,1,1.5176847,1.2406047,-0.27708,,,,
regenerate,1,1.3599162,1.4764975,0.1165813,,,,
array-filter,1,1.6187608,1.4562156,-0.1625452,,,,
async-limiter,1,1.6123419,1.3525224,-0.2598195,,,,
get-stdin,1,1.4342858,1.3660761,-0.0682097,,,,
lodash.defaults,1,1.279942,1.3560041,0.0760621,,,,
semver-truncate,2,1.4243388,1.3337777,-0.0905611,,,,
opentracing,1,1.0942798,1.2051151,0.1108353,,,,
uniq,1,1.300412,1.5745818,0.2741698,,,,
atob,1,1.1669203,1.2087183,0.041798,,,,
eslint-plugin-angular,1,1.2341334,1.4801519,0.2460185,,,,
serve-index,15,2.0341681,2.4415599,0.4073918,,,,
async,1,1.3930708,1.4768035,0.0837327,,,,
rimraf,12,2.0755178,2.069342,-0.0061758,,,,
clone-stats,1,1.5324783,1.3847822,-0.1476961,,,,
isarray,1,1.59625,1.4480995,-0.1481505,,,,
supports-color,2,1.3596438,2.4311612,1.0715174,,,,
map-cache,1,1.2916045,1.6180603,0.3264558,,,,
create-hmac,9,1.7822047,1.9103841,0.1281794,,,,
path-dirname,1,1.5741517,1.373646,-0.2005057,,,,
natural-compare,1,1.274213,1.3916885,0.1174755,,,,
string-length,4,1.5804632,1.7109514,0.1304882,,,,
eslint-plugin-react,31,5.0699417,5.1248698,0.0549281,,,,
strip-indent,2,1.4323963,1.3088823,-0.123514,,,,
vary,1,1.5508698,1.4032429,-0.1476269,,,,
#NAME?,128,24.9363051,24.4019032,-0.5344019,,,,
brace-expansion,3,1.6175478,1.6914349,0.0738871,,,,
lodash.tail,1,2.3227905,1.3292215,-0.993569,,,,
is-wsl,1,1.3603866,1.6256876,0.265301,,,,
methods,1,1.5311656,1.280491,-0.2506746,,,,
cross-spawn,6,1.7404066,1.8963944,0.1559878,,,,
saucelabs,97,6.1578565,6.6942681,0.5364116,,,,
detect-file,1,1.7169402,11.3506306,9.6336904,,,,
node-cache,2,1.9648887,1.6439601,-0.3209286,,,,
rc,5,1.5947229,1.7647818,0.1700589,,,,
#NAME?,3,1.499073,1.5286692,0.0295962,,,,
is-descriptor,1,1.3901927,1.4443657,0.054173,,,,
regex-not,8,1.9786333,1.9748502,-0.0037831,,,,
sax,1,1.4517786,1.6374405,0.1856619,,,,
qs,1,1.3254497,1.4761988,0.1507491,,,,
cache-manager-fs-hash,4,1.4985657,1.69409,0.1955243,,,,
core-util-is,1,1.4196172,1.2970505,-0.1225667,,,,
pump,4,1.6393702,1.6285209,-0.0108493,,,,
util,21,3.5899438,3.6128159,0.0228721,,,,
del,47,4.5072969,4.7073759,0.200079,,,,
#NAME?,15,3.0279486,3.0285514,0.0006028,,,,
setprototypeof,1,1.2655287,1.4126618,0.1471331,,,,
json-api-normalizer,2,1.6326084,1.6993052,0.0666968,,,,
stylelint-selector-bem-pattern,282,26.0178369,26.3487582,0.3309213,,,,
fill-range,3,1.5265601,1.719732,0.1931719,,,,
remove-trailing-separator,1,1.5032486,1.336729,-0.1665196,,,,
